PROBLEM	SC1																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO																											
CUST	VHCL	DEPOT																											
19	16	2											30																
					FIX	VARIBLE	ALLW	ALLW																					
CUST.			READY	DUE	SERVICE	SERVICE	EARLY	LATE					Delivery points																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	10	70	6	290	13	0.1	0	0	0	24	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	60	44	250	26	0.1	0	0	0	0	27	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	5	65	124	358	26	0.1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	15	65	295	455	32	0.1	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	65	78	393	36	0.1	0	0	0	0	30	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	30	50	0	600	19	0.1	0	0	0	0	0	0	0	0	1	10	21	0	0	0	0	0	0	0	0	0	0	0	0
6	30	45	0	600	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	25	45	162	262	15	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	25	50	27	391	23	0.1	0	0	0	0	0	0	0	19	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
9	50	60	168	366	31	0.1	0	0	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0	0	0	0	0	0
10	60	60	92	408	12	0.1	0	0	0	0	0	0	0	0	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0
11	55	65	215	473	19	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
12	55	55	37	248	16	0.1	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0	0	0	0	0
13	10	10	185	369	10	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
14	15	15	284	314	32	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0
15	10	20	279	393	30	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0
16	40	30	236	442	25	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	45	30	208	422	37	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	12
18	50	30	274	381	21	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	4	0
19	45	25	191	417	33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
20	45	35	1	380	41	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VARIABLE	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	600	100	1	5	5																							
2	60	600	100	1	5	5																							
3	60	600	100	1	5	5																							
4	60	600	100	1	5	5																							
5	60	600	100	1	5	5																							
6	60	600	100	1	5	5																							
7	60	600	100	1	5	5																							
8	60	600	100	1	5	5																							
9	50	600	80	1	6	6																							
10	50	600	80	1	6	6																							
11	50	600	80	1	6	6																							
12	50	600	80	1	6	6																							
13	50	600	80	1	6	6																							
14	50	600	80	1	6	6																							
15	50	600	80	1	6	6																							
16	50	600	80	1	6	6																							
