PROBLEM	20L100R_R2																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	30	2	100																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	17	17	24	372	13	0.1	0	0	0	0	24	48	0	5	0	0	0	8	0	0	0	19	0	0	0	0	30	6	0
1	89	95	167	424	26	0.1	0	0	0	0	0	0	15	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	67	11	163	512	26	0.1	0	0	29	0	0	0	27	0	10	0	0	0	0	0	0	0	0	28	0	0	0	0	0
3	23	78	36	498	32	0.1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	21	0	0	0	28	0	0	0	0
4	18	63	61	504	36	0.1	0	0	0	34	36	0	0	0	0	0	0	0	18	0	0	0	10	23	0	0	30	0	0
5	94	44	0	600	19	0.1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	11	38	0	0	0	0	0	0	0
6	98	80	0	600	11	0.1	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	26	0	0	0	12	0	0	0
7	51	72	116	518	15	0.1	0	0	0	38	0	21	0	44	0	0	0	0	42	0	34	10	0	0	0	29	0	0	0
8	15	72	15	486	23	0.1	0	0	0	25	0	0	0	0	47	3	0	0	0	0	0	0	11	0	0	0	0	29	23
9	29	89	134	444	31	0.1	0	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	43	0	0	0	14	0
10	1	37	33	513	12	0.1	0	0	1	0	0	4	23	0	0	0	49	0	0	0	25	0	0	0	0	20	0	29	0
11	53	12	108	341	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	0	5	0	39	12	0	0	0	0
12	39	65	5	508	16	0.1	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	28	50	0	0	0	0
13	13	11	144	539	10	0.1	0	0	0	0	0	20	0	42	7	27	0	0	0	28	0	0	3	0	0	0	0	0	0
14	39	0	9	507	32	0.1	0	0	19	0	32	0	0	11	0	0	0	49	0	0	0	0	0	5	0	0	50	45	13
15	81	23	62	404	30	0.1	0	0	0	0	0	8	0	0	0	0	24	0	0	0	0	0	14	0	0	0	21	0	0
16	35	31	53	563	25	0.1	0	0	8	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	28	89	62	485	37	0.1	0	0	0	0	0	0	16	0	16	0	0	0	0	0	0	0	0	0	42	0	14	0	0
18	29	14	6	422	21	0.1	0	0	1	0	0	0	0	1	0	22	0	0	33	0	49	0	0	0	10	0	0	0	0
19	65	46	138	390	33	0.1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	16	5	0	0
20	18	98	34	427	41	0.1	0	0	0	0	0	0	2	0	0	16	27	0	36	40	0	0	0	4	19	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	1200	100	1	5	5																							
2	60	1200	100	1	5	5																							
3	60	1200	100	1	5	5																							
4	60	1200	100	1	5	5																							
5	60	1200	100	1	5	5																							
6	60	1200	100	1	5	5																							
7	60	1200	100	1	5	5																							
8	60	1200	100	1	5	5																							
9	50	1200	80	1	6	6																							
10	50	1200	80	1	6	6																							
11	50	1200	80	1	6	6																							
12	50	1200	80	1	6	6																							
13	50	1200	80	1	6	6																							
14	50	1200	80	1	6	6																							
15	50	1200	80	1	6	6																							
16	50	1200	80	1	6	6																							
17	60	1200	100	1	5	5																							
18	60	1200	100	1	5	5																							
19	50	1200	80	1	6	6																							
20	50	1200	80	1	6	6																							
21	60	1200	100	1	5	5																							
22	60	1200	100	1	5	5																							
23	50	1200	80	1	6	6																							
24	50	1200	80	1	6	6																							
25	50	1200	80	1	6	6																							
26	60	1200	100	1	5	5																							
27	60	1200	100	1	5	5																							
28	50	1200	80	1	6	6																							
29	50	1200	80	1	6	6																							
30	50	1200	80	1	6	6																							
