PROBLEM	20L60R_RC1																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	16	2	60																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	10	70	114	493	13	0.1	0	0	0	0	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	60	73	434	26	0.1	0	0	0	0	0	48	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	5	65	30	450	26	0.1	0	0	29	0	0	23	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0
3	15	65	132	433	32	0.1	0	0	27	21	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	65	128	362	36	0.1	0	0	0	34	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0
5	30	50	0	600	19	0.1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	38	0	0	0	29	0	0	0
6	30	45	0	600	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9
7	25	45	169	480	15	0.1	0	0	0	0	0	0	0	44	0	0	21	0	42	0	0	0	0	0	0	0	0	12	0
8	25	50	202	423	23	0.1	0	0	0	0	0	0	0	0	47	30	0	0	23	0	0	0	11	23	0	0	0	29	0
9	50	60	74	400	31	0.1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	43	0	0	0	0	0
10	60	60	16	465	12	0.1	0	0	0	0	0	0	0	0	0	0	0	16	0	0	25	0	0	0	0	0	0	0	0
11	67	79	6	471	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	0	0	0	39	3	0	0	0	0
12	71	80	20	429	16	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	50	0	0	0	0
13	17	28	91	458	10	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	20	0	0	0
14	50	37	130	469	32	0.1	0	0	11	0	0	0	0	0	0	0	0	0	10	0	0	0	0	16	0	0	0	0	0
15	91	56	107	454	30	0.1	0	0	0	0	25	8	0	0	0	0	24	0	0	0	0	0	14	0	0	0	0	0	0
16	55	50	96	503	25	0.1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	85	10	129	459	37	0.1	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
18	58	91	30	430	21	0.1	0	0	0	0	0	0	0	1	0	22	0	0	0	0	49	0	0	0	10	0	0	0	0
19	80	71	306	523	33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
20	86	39	56	291	41	0.1	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	5	19	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	600	100	1	5	5																							
2	60	600	100	1	5	5																							
3	60	600	100	1	5	5																							
4	60	600	100	1	5	5																							
5	60	600	100	1	5	5																							
6	60	600	100	1	5	5																							
7	60	600	100	1	5	5																							
8	60	600	100	1	5	5																							
9	50	600	80	1	6	6																							
10	50	600	80	1	6	6																							
11	50	600	80	1	6	6																							
12	50	600	80	1	6	6																							
13	50	600	80	1	6	6																							
14	50	600	80	1	6	6																							
15	50	600	80	1	6	6																							
16	50	600	80	1	6	6																							
