PROBLEM	20L100R_RC2																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	30	2	100																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	37	69	108	499	13	0.1	0	0	0	0	24	19	0	5	0	0	0	0	0	0	0	19	0	0	0	0	30	6	0
1	31	66	157	411	26	0.1	0	0	0	0	0	48	15	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	62	83	440	26	0.1	0	0	29	0	0	23	27	0	10	0	0	0	0	0	0	0	0	28	0	0	1	0	0
3	29	71	160	409	32	0.1	0	0	27	21	0	0	0	0	11	0	0	0	0	0	0	0	0	0	28	0	0	0	0
4	27	63	49	404	36	0.1	0	0	0	34	36	7	0	0	0	0	0	0	18	0	0	4	0	0	0	8	0	0	0
5	52	45	0	600	19	0.1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	11	38	0	0	0	29	0	0	0
6	58	46	0	600	11	0.1	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9
7	56	48	15	497	15	0.1	0	0	0	38	0	0	0	44	0	0	21	0	42	0	34	10	0	0	0	29	0	12	0
8	59	44	6	523	23	0.1	0	0	0	0	0	0	0	0	47	30	0	0	23	0	0	0	11	23	0	0	0	29	0
9	70	87	20	410	31	0.1	0	0	0	0	5	0	0	0	0	0	0	0	21	0	0	0	0	43	0	0	0	14	0
10	69	85	41	532	12	0.1	0	0	0	0	0	4	0	0	0	0	49	16	0	0	25	0	0	0	0	0	0	0	0
11	17	17	205	445	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	0	5	0	39	3	0	0	0	0
12	89	95	97	498	16	0.1	0	0	0	0	0	33	0	0	0	0	0	0	0	20	0	0	0	28	50	0	0	0	0
13	67	11	133	498	10	0.1	0	0	0	0	0	0	0	42	26	0	0	0	0	28	0	0	3	0	0	20	0	0	0
14	23	78	12	542	32	0.1	0	0	11	0	32	0	0	0	0	0	0	49	10	0	0	0	0	16	0	0	50	45	13
15	18	63	42	469	30	0.1	0	0	0	0	25	8	0	0	0	0	24	0	0	0	0	0	14	0	0	0	0	0	0
16	94	44	41	528	25	0.1	0	0	8	0	16	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	98	80	40	488	37	0.1	0	0	0	0	0	0	0	42	16	0	0	0	0	0	0	0	0	0	1	0	14	0	0
18	51	72	114	465	21	0.1	0	0	0	0	0	0	0	1	0	22	0	0	33	0	49	0	0	0	10	0	0	0	0
19	15	72	16	449	33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	5	0	0
20	29	89	61	488	41	0.1	0	0	0	0	0	0	2	19	0	0	0	0	36	40	0	0	0	5	19	0	0	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	1200	100	1	5	5																							
2	60	1200	100	1	5	5																							
3	60	1200	100	1	5	5																							
4	60	1200	100	1	5	5																							
5	60	1200	100	1	5	5																							
6	60	1200	100	1	5	5																							
7	60	1200	100	1	5	5																							
8	60	1200	100	1	5	5																							
9	50	1200	80	1	6	6																							
10	50	1200	80	1	6	6																							
11	50	1200	80	1	6	6																							
12	50	1200	80	1	6	6																							
13	50	1200	80	1	6	6																							
14	50	1200	80	1	6	6																							
15	50	1200	80	1	6	6																							
16	50	1200	80	1	6	6																							
17	60	1200	100	1	5	5																							
18	60	1200	100	1	5	5																							
19	50	1200	80	1	6	6																							
20	50	1200	80	1	6	6																							
21	60	1200	100	1	5	5																							
22	60	1200	100	1	5	5																							
23	50	1200	80	1	6	6																							
24	50	1200	80	1	6	6																							
25	50	1200	80	1	6	6																							
26	60	1200	100	1	5	5																							
27	60	1200	100	1	5	5																							
28	50	1200	80	1	6	6																							
29	50	1200	80	1	6	6																							
30	50	1200	80	1	6	6																							
