PROBLEM	20L50R_C1																												
																													
alpha	beta	gamma	rho	we	wl																								
1	1	100000000	0	0	0																								
NO	NO	NO	NO																										
CUST	VHCL	DEPOT	REQUEST																										
19	16	2	60																										
					FIX	VAR	ALLW	ALLW																					
CUST.			READY	DUE	SERV	SERV	EARLY	LATE					DELIVERY LOCATION																
NO.	XCOORD.	YCOORD.	TIME	TIME	TIME	TIME	DEV.	DEV.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
																													
0	10	70	86	382	13	0.1	0	0	0	24	21	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	60	73	275	26	0.1	0	0	0	0	27	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	5	65	155	431	26	0.1	0	0	29	0	0	21	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0
3	15	65	50	338	32	0.1	0	0	0	11	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	65	6	365	36	0.1	0	0	0	34	30	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	30	50	0	600	19	0.1	0	0	0	0	0	0	0	0	1	10	21	0	0	0	0	38	0	0	0	0	0	0	0
6	30	45	0	600	11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
7	25	45	88	301	15	0.1	0	0	0	0	0	0	0	44	0	0	16	0	42	0	0	0	0	0	0	0	0	0	0
8	25	50	35	353	23	0.1	0	0	0	0	0	0	0	19	47	22	0	0	0	0	0	0	11	0	0	0	0	29	0
9	50	60	62	376	31	0.1	0	0	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	43	0	0	0	0	0
10	60	60	76	334	12	0.1	0	0	0	0	0	0	0	0	0	0	0	9	0	11	25	0	0	0	0	0	0	0	0
11	55	65	33	380	19	0.1	0	0	0	0	0	0	0	0	0	0	0	12	47	0	23	0	0	39	0	0	0	0	0
12	55	55	26	475	16	0.1	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	50	0	0	0	0
13	10	10	128	350	10	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	0
14	15	15	64	434	32	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	5	0	0	0	0	0
15	10	20	12	496	30	0.1	0	0	0	0	0	8	0	0	0	0	24	0	0	0	0	27	14	0	0	0	0	0	0
16	40	30	167	479	25	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	45	30	102	489	37	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	20	0	12
18	50	30	6	475	21	0.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	49	0	0	0	10	23	0	4	0
19	45	25	61	303	33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
20	45	35	35	418	41	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	1	0	0
																													
																													
																													
																													
																													
																													
																													
																													
VEHICLE	CAPA-	TIME	FIXED	VAR	START	END																							
NO.	CITY	LIMIT	COST	COST	TMNL	TMNL																							
1	60	600	100	1	5	5																							
2	60	600	100	1	5	5																							
3	60	600	100	1	5	5																							
4	60	600	100	1	5	5																							
5	60	600	100	1	5	5																							
6	60	600	100	1	5	5																							
7	60	600	100	1	5	5																							
8	60	600	100	1	5	5																							
9	50	600	80	1	6	6																							
10	50	600	80	1	6	6																							
11	50	600	80	1	6	6																							
12	50	600	80	1	6	6																							
13	50	600	80	1	6	6																							
14	50	600	80	1	6	6																							
15	50	600	80	1	6	6																							
16	50	600	80	1	6	6																							
